Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
60,tt4686844,2019-11-17,2019-11-17,,"The Death of Stalin","The Death of Stalin",https://www.imdb.com/title/tt4686844/,Movie,7.3,107,2017,"Comedy, Drama, History",118262,2018-03-09,"Armando Iannucci",,
61,tt3464902,2019-11-17,2019-11-17,,"The Lobster","The Lobster",https://www.imdb.com/title/tt3464902/,Movie,7.1,119,2015,"Drama, Romance, Sci-Fi, Thriller",313885,2015-10-16,"Yorgos Lanthimos",,
62,tt1282015,2020-01-16,2020-01-16,,"2081","2081",https://www.imdb.com/title/tt1282015/,Short,6.9,25,2009,"Short, Action, Sci-Fi",2735,2009-05-29,"Chandler Tuttle",,
63,tt0058083,2020-01-17,2020-01-17,,"Fail Safe","Fail-Safe",https://www.imdb.com/title/tt0058083/,Movie,8.0,112,1964,"Drama, Thriller",25588,1964-10-07,"Sidney Lumet",,
64,tt0292963,2020-01-17,2020-01-17,,"Before the Devil Knows You're Dead","Before the Devil Knows You're Dead",https://www.imdb.com/title/tt0292963/,Movie,7.3,117,2007,"Crime, Drama, Thriller",115256,2007-10-26,"Sidney Lumet",,
65,tt0072890,2020-01-17,2020-01-17,,"Dog Day Afternoon","Dog Day Afternoon",https://www.imdb.com/title/tt0072890/,Movie,8.0,125,1975,"Biography, Crime, Drama, Thriller",279565,1975-12-25,"Sidney Lumet",,
66,tt5727208,2020-01-18,2020-01-18,,"Uncut Gems","Uncut Gems",https://www.imdb.com/title/tt5727208/,Movie,7.4,135,2019,"Crime, Drama, Thriller",330535,2019-12-25,"Benny Safdie, Josh Safdie",,
67,tt7984734,2020-01-18,2020-01-18,,"The Lighthouse","The Lighthouse",https://www.imdb.com/title/tt7984734/,Movie,7.4,109,2019,"Drama, Fantasy, Horror, Mystery, Thriller",275288,2019-11-01,"Robert Eggers",,
68,tt8637428,2020-01-18,2020-01-18,,"The Farewell","The Farewell",https://www.imdb.com/title/tt8637428/,Movie,7.5,100,2019,"Comedy, Drama",73235,2019-08-09,"Lulu Wang",,
69,tt7653254,2020-01-18,2020-01-18,,"Marriage Story","Marriage Story",https://www.imdb.com/title/tt7653254/,Movie,7.9,137,2019,"Drama, Romance",357304,2019-12-06,"Noah Baumbach",,
70,tt6155172,2020-03-17,2020-03-17,,"Roma","Roma",https://www.imdb.com/title/tt6155172/,Movie,7.7,135,2018,"Drama",173102,2018-12-14,"Alfonso Cuarón",,
71,tt7282468,2020-03-20,2020-03-20,,"Burning","Beoning",https://www.imdb.com/title/tt7282468/,Movie,7.4,148,2018,"Drama, Mystery",80223,2018-05-17,"Lee Chang-dong",,
72,tt8075192,2020-03-20,2020-03-20,,"Shoplifters","Manbiki kazoku",https://www.imdb.com/title/tt8075192/,Movie,7.9,121,2018,"Crime, Drama, Thriller",90211,2018-11-23,"Hirokazu Koreeda",,
73,tt1392214,2020-03-20,2020-03-20,,"Prisoners","Prisoners",https://www.imdb.com/title/tt1392214/,Movie,8.2,153,2013,"Crime, Drama, Mystery, Thriller",853129,2013-09-20,"Denis Villeneuve",,
74,tt0443706,2020-03-20,2020-03-20,,"Zodiac","Zodiac",https://www.imdb.com/title/tt0443706/,Movie,7.7,157,2007,"Crime, Drama, Mystery, Thriller",626173,2007-03-02,"David Fincher",,
75,tt0387898,2020-03-20,2020-03-20,,"Caché","Caché",https://www.imdb.com/title/tt0387898/,Movie,7.3,117,2005,"Drama, Mystery, Thriller",87276,2006-02-17,"Michael Haneke",,
76,tt0156887,2020-03-20,2020-03-20,,"Perfect Blue","Pâfekuto burû",https://www.imdb.com/title/tt0156887/,Movie,8.0,81,1997,"Animation, Crime, Drama, Mystery, Thriller",104359,1999-08-20,"Satoshi Kon",,
77,tt0088680,2020-03-20,2020-03-20,,"After Hours","After Hours",https://www.imdb.com/title/tt0088680/,Movie,7.6,97,1985,"Comedy, Crime, Drama, Thriller",86515,1985-10-11,"Martin Scorsese",,
78,tt0080678,2020-03-20,2020-03-20,,"The Elephant Man","The Elephant Man",https://www.imdb.com/title/tt0080678/,Movie,8.2,124,1980,"Biography, Drama",268631,1980-10-10,"David Lynch",,
79,tt0079944,2020-03-20,2020-03-20,,"Stalker","Stalker",https://www.imdb.com/title/tt0079944/,Movie,8.0,162,1979,"Drama, Sci-Fi",149488,1980-04-17,"Andrei Tarkovsky",,
80,tt0077405,2020-03-20,2020-03-20,,"Days of Heaven","Days of Heaven",https://www.imdb.com/title/tt0077405/,Movie,7.7,94,1978,"Drama, Romance",65076,1978-10-06,"Terrence Malick",,
81,tt0077416,2020-03-20,2020-03-20,,"The Deer Hunter","The Deer Hunter",https://www.imdb.com/title/tt0077416/,Movie,8.1,183,1978,"Drama, War",371835,1979-02-23,"Michael Cimino",,
82,tt0074486,2020-03-20,2020-03-20,,"Eraserhead","Eraserhead",https://www.imdb.com/title/tt0074486/,Movie,7.3,89,1977,"Fantasy, Horror",133692,1978-02-03,"David Lynch",,
83,tt0072443,2020-03-20,2020-03-20,,"Mirror","Zerkalo",https://www.imdb.com/title/tt0072443/,Movie,7.9,107,1975,"Biography, Drama",54247,1975-03-07,"Andrei Tarkovsky",,
84,tt0070379,2020-03-20,2020-03-20,,"Mean Streets","Mean Streets",https://www.imdb.com/title/tt0070379/,Movie,7.2,112,1973,"Crime, Drama, Thriller",122976,1973-10-14,"Martin Scorsese",,
85,tt0055630,2020-03-20,2020-03-20,,"Yojimbo","Yôjinbô",https://www.imdb.com/title/tt0055630/,Movie,8.2,110,1961,"Action, Drama, Thriller",135920,1961-09-13,"Akira Kurosawa",,
86,tt0049730,2020-03-20,2020-03-20,,"The Searchers","The Searchers",https://www.imdb.com/title/tt0049730/,Movie,7.8,119,1956,"Adventure, Drama, Western",99185,1956-05-26,"John Ford",,
87,tt0044741,2020-03-20,2020-03-20,,"Ikiru","Ikiru",https://www.imdb.com/title/tt0044741/,Movie,8.3,143,1952,"Drama",94530,1956-03-25,"Akira Kurosawa",,
88,tt0042876,2020-03-20,2020-03-20,,"Rashomon","Rashômon",https://www.imdb.com/title/tt0042876/,Movie,8.2,88,1950,"Crime, Drama, Mystery",186967,1951-12-26,"Akira Kurosawa",,
89,tt0089881,2020-03-20,2020-03-20,,"Ran","Ran",https://www.imdb.com/title/tt0089881/,Movie,8.2,160,1985,"Action, Drama, War",141341,1985-06-01,"Akira Kurosawa",,
90,tt0038650,2020-03-20,2020-03-20,,"It's a Wonderful Life","It's a Wonderful Life",https://www.imdb.com/title/tt0038650/,Movie,8.6,130,1946,"Drama, Family, Fantasy, Romance",522184,1947-01-07,"Frank Capra",,
91,tt0036775,2020-03-20,2020-03-20,,"Double Indemnity","Double Indemnity",https://www.imdb.com/title/tt0036775/,Movie,8.3,107,1944,"Crime, Drama, Film-Noir, Mystery, Thriller",172861,1944-07-06,"Billy Wilder",,
92,tt0034583,2020-03-20,2020-03-20,,"Casablanca","Casablanca",https://www.imdb.com/title/tt0034583/,Movie,8.5,102,1942,"Drama, Romance, War",624665,1943-01-23,"Michael Curtiz",,
93,tt0033467,2020-03-20,2020-03-20,,"Citizen Kane","Citizen Kane",https://www.imdb.com/title/tt0033467/,Movie,8.3,119,1941,"Drama, Mystery",477069,1941-09-05,"Orson Welles",,
